node	degree
6139	146
342574	4
5174	27
64376	9
3945	32
25909	7
51307	7
5367	10
390648	2
29078	1
7881	7
57117	13
84916	1
7697	7
3292	26
29997	6
10221	4
4608	1
6915	18
4640	12
1180	4
1811	2
57016	1
4846	62
10807	14
84811	130
57693	6
116832	1
26133	9
146956	5
84102	2
4709	54
26073	14
3840	16
57576	7
81889	2
1642	187
1589	3
55000	1
8728	13
939	7
2743	2
10297	17
9325	22
79682	58
91893	1
9619	4
23376	12
9404	24
54663	3
8165	20
23262	2
57821	2
114904	1
6018	9
170394	1
80726	12
9296	1
64426	29
8624	1
8573	48
1571	3
23036	1
29842	3
1630	17
483	1
166824	2
285362	2
4340	3
11165	35
158067	9
132660	44
1983	15
7169	16
7027	31
353	12
23168	8
9913	14
8390	1
583	15
10248	16
2483	84
130502	9
256281	9
1060	47
23403	1
84163	1
116028	3
9725	2
932	2
11244	58
11189	7
10241	133
4995	1
2820	4
5859	47
401251	2
348980	5
5330	52
27031	3
4049	14
23500	10
10090	1
220965	14
387119	1
146540	6
7984	9
5715	16
84303	6
4232	17
9883	25
8851	32
6015	79
54845	1
3038	2
5408	8
6505	5
51510	24
64102	1
3211	12
6792	5
3202	11
1315	31
11226	1
51808	12
25778	14
4804	52
952	5
9589	168
25934	10
10243	15
387338	4
8092	4
56852	13
220134	9
8233	31
10782	2
7436	10
10026	9
59336	1
6546	10
9761	3
9244	3
2161	10
3218	4
9952	8
27231	7
90011	1
59277	4
4724	52
9451	12
9295	143
122651	1
93973	15
23186	50
170082	33
55741	1
7044	9
10421	156
9101	35
871	19
80063	3
55188	2
55119	3
9446	7
115727	2
8722	1
27127	1
100293516	2
50512	3
29950	21
9947	8
57461	157
7730	1
23328	5
10194	1
9645	1
57048	8
2742	3
27240	9
8726	38
26206	7
56957	15
644815	1
57634	27
1801	6
162989	12
23248	3
6399	6
9736	2
3837	152
57680	15
7159	65
123811	1
3018	19
4486	26
783	5
55553	11
22974	13
1786	49
23564	22
3682	4
27232	15
10124	5
8566	10
1482	14
64895	3
83732	1
3007	101
5522	15
55256	3
4515	3
27330	22
353267	4
7345	24
22920	20
440145	1
64432	79
2091	228
3417	12
60676	5
3514	11
55038	5
3764	6
3304	35
3455	17
651	3
26271	6
9699	15
5313	16
1838	38
135927	1
6576	7
3493	40
8881	23
10025	44
284273	22
1821	5
127255	1
84888	1
1612	30
5126	5
23483	2
845	5
462	8
4242	5
23164	19
2695	5
149233	5
652	19
10945	11
54148	80
2595	8
7220	23
5276	5
390	6
23401	1
221044	1
55363	1
388324	32
26054	4
54776	11
55139	6
3433	4
148413	2
55815	1
10956	15
1193	1
3205	14
2831	2
79780	2
60385	4
7770	5
2713	3
375133	1
79695	4
113174	4
5947	12
91056	5
51654	4
23209	7
55967	53
113452	6
23548	1
4149	107
221786	4
64946	52
5901	162
7087	4
116844	1
22948	46
9324	4
6129	295
2869	25
56160	2
2200	19
81488	21
8778	4
90187	1
10632	21
10594	189
79812	3
672	261
26145	5
9512	3
6146	183
3384	8
22980	8
100506658	1
6419	3
54093	20
57761	31
118460	34
2302	1
3698	5
22844	1
4864	4
3458	10
129880	2
10954	6
8564	4
80143	15
51655	10
9622	2
387893	30
10063	18
1874	32
23620	1
161176	1
199920	1
126298	1
151531	5
145957	3
4744	11
51637	8
6317	5
79925	2
30062	1
3750	2
25853	3
10762	16
57471	2
84996	3
51523	6
3710	16
9640	3
114984	1
112755	8
26240	11
9048	3
85477	6
11097	6
5977	25
27244	2
345651	2
83667	1
4176	85
139324	3
4338	3
56970	13
26262	1
3303	206
1016	6
776	2
90834	5
79699	3
4747	37
79959	50
10095	13
6736	8
8464	29
90488	1
3460	6
2918	4
6916	7
57515	4
6133	183
353144	16
57819	186
10993	7
51155	2
7837	1
54014	2
10481	7
8720	12
10491	1
55051	1
55007	15
8555	4
8334	2
7031	8
25973	1
26523	45
25959	26
51136	2
10406	1
22866	19
147381	1
55163	1
5025	4
51693	10
91151	1
8781	1
28793	1
3858	15
5635	15
8440	83
2700	5
2934	38
202333	7
7320	20
9270	11
81491	1
56944	5
55096	9
159989	30
9915	9
130074	1
84246	76
22142	2
397	13
56157	1
100289087	3
84618	1
83547	5
23268	20
54732	1
11314	2
9141	17
51259	1
9688	63
56654	21
126129	16
838	7
56905	3
1009	4
10589	39
4015	8
5602	79
54970	2
79650	2
80851	5
10617	37
873	18
23233	2
1861	9
3084	31
92181	1
286006	2
2778	38
11168	11
51006	1
26071	3
627	14
85027	8
2072	86
113828	1
137492	4
90780	2
58493	1
6887	9
23047	10
3029	27
57226	1
6631	149
342666	2
23229	4
10809	1
57628	2
10745	1
1528	10
7328	46
1643	25
6856	1
5277	7
4001	42
8106	16
55069	2
133522	11
1910	8
203522	2
8502	21
9232	9
80345	2
81926	15
55608	1
7917	116
54891	14
359	6
90268	3
5787	44
83933	7
11257	2
63971	9
55799	1
7021	15
1052	21
7369	2
57658	22
255043	1
10489	10
84263	1
8883	79
51008	8
54972	4
57655	1
3242	4
4978	3
8312	54
11202	2
5058	136
55154	1
1278	25
54820	8
4616	15
27132	5
10430	7
7414	95
7371	7
348174	3
23269	18
51264	79
5696	20
5427	31
2588	17
6611	9
